what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1309344644889
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1309344644913
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1309344644932
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1309344644942
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1309344644966
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1309344644979
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1309344644981
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1309344644990
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1309344645010
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1309344645011
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1309344645013
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1309344645013
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1309344645029
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1309344645036
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1309344645046
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1309344645048
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1309344645056
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1309344645057
started,bundle,org.eclipse.mylyn.trac.core,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.trac.core",1309344645059
started,bundle,org.eclipse.mylyn.trac.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.trac.ui",1309344645060
started,bundle,org.eclipse.mylyn.web.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.web.tasks",1309344645064
started,bundle,org.eclipse.photran.core,6.0.0.201102161000,"org.eclipse.photran.core",1309344645073
started,bundle,org.eclipse.photran.core.vpg,6.0.0.201102161000,"org.eclipse.photran.core.vpg",1309344645076
started,bundle,org.eclipse.photran.ui,6.0.0.201102161000,"org.eclipse.photran.ui",1309344645091
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1309344645105
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1309344645108
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1309344645126
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1309344645141
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1309344645146
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1309344645158
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1309344645175
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1309344645188
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1309344645199
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1309344645201
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1309344645201
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1309344645215
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1309344645215
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1309344645222
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1309344645223
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1309344645235
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1309344645260
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1309344645270
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1309344645273
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1309344645282
started,bundle,com.python.pydev.analysis,2.1.0.2011052613,"com.python.pydev.analysis",1309344645291
started,bundle,org.eclipse.egit.core,0.12.1,"org.eclipse.egit.core",1309344645302
started,bundle,org.eclipse.egit.ui,0.12.1,"org.eclipse.egit.ui",1309344645311
started,bundle,org.eclipse.jgit,0.12.1,"org.eclipse.jgit",1309344645311
started,bundle,org.eclipse.team.svn.core,0.7.9.I20110523-1700,"org.eclipse.team.svn.core",1309344645319
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1309344645319
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20110523-1700,"org.eclipse.team.svn.ui",1309344645336
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110523-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1309344645336
started,bundle,org.python.pydev,2.1.0.2011052613,"org.python.pydev",1309344645336
started,bundle,org.python.pydev.core,2.1.0.2011052613,"org.python.pydev.core",1309344645339
os,sysinfo,,,"linux",1309344645343
arch,sysinfo,,,"x86_64",1309344645343
ws,sysinfo,,,"gtk",1309344645343
locale,sysinfo,,,"en_US",1309344645343
processors,sysinfo,,,"2",1309344645343
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1309344645343
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1309344645343
java.specification.name,sysinfo,,,"Java Platform API Specification",1309344645343
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1309344645343
java.specification.version,sysinfo,,,"1.6",1309344645343
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1309344645343
java.version,sysinfo,,,"1.6.0_26",1309344645343
java.vm.info,sysinfo,,,"mixed mode",1309344645343
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1309344645343
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1309344645343
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1309344645343
java.vm.specification.version,sysinfo,,,"1.0",1309344645343
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1309344645343
java.vm.version,sysinfo,,,"20.1-b02",1309344645343
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1309344645381
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1309344645617
activated,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1309344653048
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1309344653067
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1309344653094
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1309344653112
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1309344653144
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309344655467
started,bundle,org.python.pydev.parser,2.1.0.2011052613,"org.python.pydev.parser",1309344684844
error,log,,,"Python not configured.",1309344685185
started,bundle,org.eclipse.wst.jsdt.core,1.1.5.v201104272136,"org.eclipse.wst.jsdt.core",1309344685666
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1309344685816
started,bundle,org.eclipse.wst.jsdt.ui,1.1.5.v201104070556,"org.eclipse.wst.jsdt.ui",1309344685817
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1309344686560
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309344686574
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309344686671
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20110318-1700,"org.eclipse.team.svn.revision.graph",1309344686807
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309344688905
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1309344689894
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1309344694507
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.close",1309344694518
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1309344699160
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1309344699282
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1309344699389
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1309344699430
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309344704893
stopped,bundle,org.eclipse.linuxtools.cdt.libhover,1.0.3.201102160611,"org.eclipse.linuxtools.cdt.libhover",1309344705739
stopped,bundle,org.eclipse.cdt,7.0.2.201102110609,"org.eclipse.cdt",1309344705739
stopped,bundle,org.eclipse.cdt.doc.user,5.1.0.201102110609,"org.eclipse.cdt.doc.user",1309344705759
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.2.0.v20100414,"org.eclipse.jst.pagedesigner.jsf.ui",1309344705785
stopped,bundle,org.eclipse.jst.pagedesigner,1.3.2.v201101211220,"org.eclipse.jst.pagedesigner",1309344705821
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.2.0.v20100329,"org.eclipse.jst.jsf.common.ui",1309344705845
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1309344705873
stopped,bundle,org.eclipse.help.ui,3.5.3.r36_20101116,"org.eclipse.help.ui",1309344705895
